timestamp,tick,q_stream,t2_stream,anomaly_active,predicted_regime,inventory,dynamic_barrier,ruin_probability,absorbed,round_trips_completed
2026-06-04 09:01:57.600000+00:00,135,,,False,NORMAL,21,50,0.29000000000000004,False,4
2026-06-04 09:01:58.440000+00:00,136,,,False,NORMAL,20,50,0.30000000000000004,False,4
2026-06-04 09:01:59.280000+00:00,137,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:02:00.120000+00:00,138,,,False,NORMAL,20,50,0.30000000000000004,False,4
2026-06-04 09:02:00.960000+00:00,139,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:02:02.640000+00:00,140,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:02:03.480000+00:00,141,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:02:04.320000+00:00,142,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:02:05.160000+00:00,143,,,False,NORMAL,19,50,0.31000000000000005,False,4
2026-06-04 09:02:06+00:00,144,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:02:06.840000+00:00,145,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:02:07.680000+00:00,146,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:02:08.520000+00:00,147,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:02:09.360000+00:00,148,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:02:10.200000+00:00,149,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:02:11.040000+00:00,150,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:02:11.880000+00:00,151,,,False,NORMAL,15,50,0.35,False,4
2026-06-04 09:02:12.720000+00:00,152,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:02:14.400000+00:00,153,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:02:15.240000+00:00,154,,,False,NORMAL,18,50,0.31999999999999995,False,4
2026-06-04 09:02:16.080000+00:00,155,,,False,NORMAL,17,50,0.32999999999999996,False,4
2026-06-04 09:02:16.920000+00:00,156,,,False,NORMAL,16,50,0.33999999999999997,False,4
2026-06-04 09:02:17.760000+00:00,157,,,False,NORMAL,15,50,0.35,False,4
